t_s,ball_x_px,ball_y_px,setpoint_x_px,setpoint_y_px,err_x_m_window,err_y_m_window,servo1_deg,servo2_deg,servo3_deg
7.615847587585449219e-01,2.534921112060546875e+02,1.843049316406250000e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.742834251374006271e-03,1.091901492327451706e-02,2.242718662979289945e+01,3.821510186297446410e+01,4.228945781122187242e+01
7.959523200988769531e-01,2.535487213134765625e+02,1.864131927490234375e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.720780532807111740e-03,1.009770017117261887e-02,2.468512247762376788e+01,3.700290323382135682e+01,4.123302101389860752e+01
8.259515762329101562e-01,2.534428558349609375e+02,1.876642913818359375e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.762022756040096283e-03,9.610310196876525879e-03,2.312804158067612548e+01,3.809234739083338184e+01,4.170957514692099721e+01
8.594055175781250000e-01,2.527121276855468750e+02,1.879931182861328125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.046692211180925369e-03,9.482208639383316040e-03,2.110569432657991484e+01,4.024627374778569333e+01,4.154108865770593439e+01
8.919007778167724609e-01,2.522476654052734375e+02,1.892570037841796875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.227632820606231689e-03,8.989837951958179474e-03,2.317209170264967355e+01,3.879779284892455138e+01,4.094663750423972459e+01
9.225533008575439453e-01,2.525810852050781250e+02,1.899324340820312500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.097742658108472824e-03,8.726710453629493713e-03,2.203735247531561470e+01,3.789407776565499830e+01,4.300190313986604451e+01
9.550688266754150391e-01,2.532326660156250000e+02,1.913019866943359375e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.843906499445438385e-03,8.193174377083778381e-03,2.356576528031593298e+01,3.652354843986729804e+01,4.284737051707357125e+01
9.869246482849121094e-01,2.532355499267578125e+02,1.914658813476562500e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.842782858759164810e-03,8.129325695335865021e-03,2.107344327179204413e+01,3.891913837447863500e+01,4.292436509873657258e+01
1.018680095672607422e+00,2.532555541992187500e+02,1.913833312988281250e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.834989551454782486e-03,8.161484263837337494e-03,2.053143722741402399e+01,3.915056909729473489e+01,4.322485437291938126e+01
1.050899267196655273e+00,2.531230163574218750e+02,1.912848510742187500e+02,2.656666564941406250e+02,2.123333282470703125e+02,4.886622540652751923e-03,8.199849165976047516e-03,2.048553613061448431e+01,3.945693905647102895e+01,4.296006669701647951e+01
